by,descendants,id,kids,score,time,title,type,url,text
marban,0.0,40293807,,6,1715135640,Americans' Changing Relationship with Local News,story,https://www.pewresearch.org/journalism/2024/05/07/americans-changing-relationship-with-local-news/,
zinccat,1.0,40293095,[40294104],14,1715128159,"DeepSeek V2, near GPT4 performance with 30% GPT3.5 cost ($0.14M input tokens)",story,https://www.deepseek.com/,
todsacerdoti,138.0,40286959,"[40288557, 40288414, 40289117, 40288507, 40288781, 40288581, 40287875, 40289545, 40294322, 40290434, 40289487, 40293687, 40289176, 40289061, 40289732, 40290624, 40290079, 40289564, 40288353, 40289013, 40289764, 40289537, 40288847, 40289192, 40287676, 40287588, 40288919, 40290886]",208,1715095908,Linux When?,story,https://zed.dev/blog/zed-decoded-linux-when,
azhenley,2.0,40291448,[40291520],9,1715115798,How to teach writing research papers,story,https://parentheticallyspeaking.org/articles/how-to-teach-writing/,
vquemener,74.0,40284994,"[40285375, 40285502, 40285470, 40285433, 40289460, 40285655, 40290848, 40285417, 40293562, 40292752, 40285340, 40286484, 40285593, 40286359, 40285481, 40285473]",178,1715087227,Raspberry Pi Connect,story,https://www.raspberrypi.com/news/raspberry-pi-connect/,
dsr_,201.0,40279632,"[40281267, 40279798, 40280070, 40284201, 40279843, 40280243, 40281016, 40282947, 40283244, 40280348, 40280260, 40279746, 40280314, 40286675, 40280284, 40283857, 40283355, 40283290, 40286182, 40279995, 40282528, 40281059, 40279924, 40284929, 40284803, 40282351, 40280359, 40279804, 40282458, 40279748, 40280982, 40279907, 40279841]",426,1715030395,Attackers can decloak routing-based VPNs,story,https://www.leviathansecurity.com/blog/tunnelvision,
mekster,4.0,40291169,"[40293704, 40293248, 40293062]",13,1715114327,Odroid-H4,story,https://www.hardkernel.com/,
PaulHoule,0.0,40287692,,10,1715098817,Mamba-360: Survey of State Space Models as Transformer Alternative,story,https://arxiv.org/abs/2404.16112,
PaulHoule,1.0,40292939,[40294447],19,1715126740,Rivian wins $827M from Illinois to expand its factory for R2 lineup,story,https://techcrunch.com/2024/05/02/rivian-827-million-incentives-r2-illinois/,
ziptron,2.0,40292416,"[40293374, 40293087]",36,1715121986,French regulator fines Google $271M over generative AI copyright issue,story,https://www.cio.com/article/2069449/french-regulator-fines-google-271m-over-generative-ai-copyright-issue.html,
