by,descendants,id,kids,score,time,title,type,url,text
montyanderson,4.0,40101885,"[40102602, 40101936, 40102506]",62,1713655470,I bought 300 emoji domain names from Kazakhstan and built an email service (2021),story,https://tinyprojects.dev/projects/mailoji,
arfrank,104.0,40098178,"[40102614, 40098959, 40099444, 40099139, 40099277, 40099109, 40099700, 40099156, 40098986, 40100441, 40098881, 40102155, 40099172, 40099607, 40099140, 40100429, 40099666, 40099527, 40101418, 40099180, 40099552, 40099031, 40099673, 40099306, 40099869, 40099840, 40099148]",312,1713627640,Doomscroller.xyz,story,https://doomscroller.xyz/,
soVeryTired,3.0,40101317,"[40102618, 40102525, 40102443]",25,1713649820,Scientists discover first nitrogen fixing organelle,story,https://newscenter.lbl.gov/2024/04/17/scientists-discover-first-nitrogen-fixing-organelle/,
andreyk,54.0,40099344,"[40099637, 40101177, 40100031, 40101739, 40101545, 40101102, 40101736, 40100454, 40102082, 40101029, 40101162, 40101702, 40101176, 40101682, 40100984, 40100306, 40101236, 40101070]",124,1713636195,Financial Market Applications of LLMs,story,https://thegradient.pub/financial-market-applications-of-llms/,
feydaykyn,11.0,40084003,"[40100873, 40101150, 40102322, 40100777]",77,1713508723,Earth Online: non-stop satellite monitoring platform,story,https://nimbo.earth/products/earth-online/,
altilunium,39.0,40084927,"[40099751, 40099962, 40101569, 40099541, 40099630, 40099645, 40099687]",156,1713520886,The current state of map design in OpenStreetMap,story,https://imagico.de/blog/en/the-current-state-of-map-design-in-openstreetmap/,
saloama,17.0,40099626,"[40102032, 40102577, 40100914, 40101256, 40101776, 40101087, 40099936, 40102605]",65,1713637784,My journey into personal computer software development in 1983,story,https://farrs.substack.com/p/my-journey-into-personal-computer,
type0,1.0,40086027,[40102555],9,1713530106,Scriptable Operating Systems with Lua [pdf],story,https://www.netbsd.org/~lneto/dls14.pdf,
lupyuen,0.0,40101628,,16,1713652515,Rust Custom Target for QEMU RISC-V on Apache NuttX RTOS,story,https://lupyuen.codeberg.page/articles/rust4.html,
campuscodi,84.0,40100672,"[40101185, 40101522, 40101364, 40102450, 40102280, 40101449, 40101428, 40102108, 40101239, 40101602, 40101156, 40101604, 40101995, 40101314, 40101408, 40101901, 40101487, 40101173]",176,1713644346,Bringing Exchange Support to Thunderbird,story,https://blog.thunderbird.net/2024/04/adventures-in-rust-bringing-exchange-support-to-thunderbird/,
thunderbong,0.0,40085028,,22,1713522084,Natural Language Processing in Bash,story,https://massimo-nazaria.github.io/nlp.html,
rbanffy,0.0,40085528,,8,1713526681,Stuart Parkin revolutionized disk drive storage,story,https://spectrum.ieee.org/stuart-parkin-disk-drive-storage,
awb,22.0,40101290,"[40102524, 40101488, 40101421, 40102504, 40102385, 40102434, 40101871, 40101438, 40101631, 40101565, 40101646]",103,1713649572,Two lifeforms merge in once-in-a-billion-years evolutionary event,story,https://newatlas.com/biology/life-merger-evolution-symbiosis-organelle/,
fesens,21.0,40099252,"[40101154, 40099941, 40100341, 40100919, 40100250, 40101280]",116,1713635667,Self-reasoning tokens: teaching models to think ahead,story,https://reasoning-tokens.ghost.io/reasoning-tokens/,
jshchnz,,40100971,,1,1713646806,Emerge (YC W21) is hiring senior engineers to automate dead code deletion,job,https://www.emergetools.com/careers,
keepamovin,9.0,40083869,"[40098389, 40100794, 40101353, 40099044, 40099188]",67,1713506999,Coz: Causal Profiling,story,https://github.com/plasma-umass/coz,
jger15,31.0,40100867,"[40101746, 40102146, 40101771, 40102432, 40102109, 40101697, 40101979, 40102453, 40102154, 40101817, 40102005, 40101595]",99,1713645883,Why Everything Is Becoming a Game,story,https://www.gurwinder.blog/p/why-everything-is-becoming-a-game,
dnetesn,0.0,40083689,,22,1713504405,The Shark Whisperer,story,https://nautil.us/the-shark-whisperer-547680/,
catapart,5.0,40087213,"[40102521, 40087214, 40101523]",15,1713536738,Binary Greedy Voxel Meshing Algorithm,story,https://github.com/TanTanDev/binary_greedy_mesher_demo,
